partition,strategy,spread_label,spread,exit_threshold,min_entry,max_entry,e_star,n_trades,proj_60d,total_pnl,sharpe,win_rate,exit_rate,max_dd,mean_pnl_per_trade
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.65,0.02,109,130.8,36.85,4.407405838339347,0.6330275229357798,0.5412844036697247,-7.899999999999999,0.33807339449541285
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.65,0.037,100,120.0,46.00000000000001,5.816083284698616,0.68,0.58,-6.549999999999999,0.46
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.65,0.05,98,117.6,39.075,5.20542562240441,0.673469387755102,0.5918367346938775,-6.549999999999999,0.39872448979591835
IS,hybrid_maker,optimistic,0.04,0.25,0.35,0.55,0.02,66,79.2,32.775000000000006,4.517820016813628,0.7121212121212122,0.5909090909090909,-5.699999999999999,0.4965909090909091
IS,hybrid_maker,optimistic,0.04,0.25,0.35,0.55,0.037,59,70.8,36.175000000000004,5.970413287749954,0.7457627118644068,0.6101694915254238,-5.675000000000001,0.6131355932203391
IS,hybrid_maker,optimistic,0.04,0.25,0.35,0.55,0.05,58,69.6,31.500000000000007,5.428457148435581,0.7413793103448276,0.6379310344827587,-5.675000000000001,0.5431034482758622
IS,hybrid_maker,optimistic,0.04,0.25,0.35,0.65,0.02,73,87.6,30.200000000000003,3.845170727946309,0.6986301369863014,0.5753424657534246,-6.074999999999999,0.4136986301369863
IS,hybrid_maker,optimistic,0.04,0.25,0.35,0.65,0.037,66,79.2,33.575,5.036249856611876,0.7272727272727273,0.5909090909090909,-5.675000000000001,0.5087121212121213
IS,hybrid_maker,optimistic,0.04,0.25,0.35,0.65,0.05,64,76.8,27.65,4.310364401489537,0.71875,0.609375,-5.675000000000001,0.4320312500000001
IS,hybrid_maker,moderate,0.1,0.12,0.15,0.55,0.02,190,228.0,78.35,20.503784481742837,0.8736842105263158,0.868421052631579,-1.6000000000000014,0.41236842105263155
IS,hybrid_maker,moderate,0.1,0.12,0.15,0.55,0.037,181,217.20000000000002,72.37500000000001,18.1962872741474,0.8674033149171271,0.861878453038674,-2.200000000000003,0.39986187845303867
