event_id,event_slug,event_title,city,event_date,n_buckets,bucket_width,min_bucket,max_bucket,neg_risk,total_volume,created_at,accepting_orders
265882,highest-temperature-in-munich-on-march-17-2026,Highest temperature in Munich on March 17?,munich,2026-03-17,11,,,,True,4811.037575000003,2026-03-13T19:20:37.484663Z,False
265875,highest-temperature-in-dallas-on-march-17-2026,Highest temperature in Dallas on March 17?,dallas,2026-03-17,11,2.0,56.0,73.0,True,48327.31915199998,2026-03-13T19:19:19.723107Z,False
265880,highest-temperature-in-wellington-on-march-17-2026,Highest temperature in Wellington on March 17?,wellington,2026-03-17,11,,,,True,48026.95932299999,2026-03-13T19:20:15.275791Z,False
265879,highest-temperature-in-ankara-on-march-17-2026,Highest temperature in Ankara on March 17?,ankara,2026-03-17,11,,,,True,31416.331686000005,2026-03-13T19:20:04.338206Z,False
265878,highest-temperature-in-chicago-on-march-17-2026,Highest temperature in Chicago on March 17?,chicago_midway,2026-03-17,11,2.0,14.0,31.0,True,13916.128703999988,2026-03-13T19:19:53.655009Z,False
265877,highest-temperature-in-miami-on-march-17-2026,Highest temperature in Miami on March 17?,miami,2026-03-17,11,2.0,64.0,81.0,True,0.0,2026-03-13T19:19:42.6454Z,False
265876,highest-temperature-in-atlanta-on-march-17-2026,Highest temperature in Atlanta on March 17?,atlanta,2026-03-17,11,2.0,38.0,55.0,True,0.0,2026-03-13T19:19:30.571648Z,False
265874,highest-temperature-in-nyc-on-march-17-2026,Highest temperature in NYC on March 17?,new_york_city,2026-03-17,11,2.0,32.0,49.0,True,44293.48969499997,2026-03-13T19:19:08.748709Z,False
265873,highest-temperature-in-seattle-on-march-17-2026,Highest temperature in Seattle on March 17?,seattle,2026-03-17,11,2.0,42.0,59.0,True,0.0,2026-03-13T19:18:57.739514Z,False
265872,highest-temperature-in-toronto-on-march-17-2026,Highest temperature in Toronto on March 17?,toronto,2026-03-17,11,,,,True,0.0,2026-03-13T19:18:47.565488Z,False
265871,highest-temperature-in-seoul-on-march-17-2026,Highest temperature in Seoul on March 17?,seoul,2026-03-17,11,,,,True,0.0,2026-03-13T19:18:37.146056Z,False
265870,highest-temperature-in-buenos-aires-on-march-17-2026,Highest temperature in Buenos Aires on March 17?,buenos_aires,2026-03-17,11,,,,True,4160.704800000001,2026-03-13T19:18:26.451967Z,False
265869,highest-temperature-in-sao-paulo-on-march-17-2026,Highest temperature in Sao Paulo on March 17?,sao_paulo,2026-03-17,11,,,,True,0.0,2026-03-13T19:18:15.034468Z,False
265868,highest-temperature-in-paris-on-march-17-2026,Highest temperature in Paris on March 17?,paris,2026-03-17,11,,,,True,0.0,2026-03-13T19:18:03.476633Z,False
265867,highest-temperature-in-london-on-march-17-2026,Highest temperature in London on March 17?,london,2026-03-17,11,,,,True,30917.861031000008,2026-03-13T19:17:52.303244Z,False
265881,highest-temperature-in-lucknow-on-march-17-2026,Highest temperature in Lucknow on March 17?,lucknow,2026-03-17,11,,,,True,0.0,2026-03-13T19:20:26.489407Z,False
276883,highest-temperature-in-taipei-on-march-17-2026,Highest temperature in Taipei on March 17?,taipei,2026-03-17,11,,,,True,0.0,2026-03-16T18:12:30.724302Z,False
265884,highest-temperature-in-tokyo-on-march-17-2026,Highest temperature in Tokyo on March 17?,tokyo,2026-03-17,11,,,,True,23524.112538000005,2026-03-13T19:20:59.939982Z,False
268940,highest-temperature-in-lucknow-on-march-18-2026,Highest temperature in Lucknow on March 18?,lucknow,2026-03-18,11,,,,True,0.0,2026-03-14T10:00:58.163289Z,False
268945,highest-temperature-in-singapore-on-march-18-2026,Highest temperature in Singapore on March 18?,singapore,2026-03-18,11,,,,True,0.0,2026-03-14T10:01:18.605579Z,False
268944,highest-temperature-in-shanghai-on-march-18-2026,Highest temperature in Shanghai on March 18?,shanghai,2026-03-18,11,,,,True,0.0,2026-03-14T10:01:14.544245Z,False
268943,highest-temperature-in-tokyo-on-march-18-2026,Highest temperature in Tokyo on March 18?,tokyo,2026-03-18,11,,,,True,9488.475699,2026-03-14T10:01:10.541934Z,False
268942,highest-temperature-in-tel-aviv-on-march-18-2026,Highest temperature in Tel Aviv on March 18?,tel_aviv,2026-03-18,11,,,,True,44086.13570000001,2026-03-14T10:01:06.476161Z,False
268941,highest-temperature-in-munich-on-march-18-2026,Highest temperature in Munich on March 18?,munich,2026-03-18,11,,,,True,7558.329347,2026-03-14T10:01:02.331437Z,False
268939,highest-temperature-in-wellington-on-march-18-2026,Highest temperature in Wellington on March 18?,wellington,2026-03-18,11,,,,True,0.0,2026-03-14T10:00:54.212362Z,False
268938,highest-temperature-in-ankara-on-march-18-2026,Highest temperature in Ankara on March 18?,ankara,2026-03-18,11,,,,True,13654.651816000001,2026-03-14T10:00:50.165471Z,False
268937,highest-temperature-in-chicago-on-march-18-2026,Highest temperature in Chicago on March 18?,chicago_midway,2026-03-18,11,2.0,34.0,51.0,True,0.0,2026-03-14T10:00:46.20951Z,False
268936,highest-temperature-in-miami-on-march-18-2026,Highest temperature in Miami on March 18?,miami,2026-03-18,11,2.0,64.0,81.0,True,0.0,2026-03-14T10:00:42.14141Z,False
268935,highest-temperature-in-atlanta-on-march-18-2026,Highest temperature in Atlanta on March 18?,atlanta,2026-03-18,11,2.0,44.0,61.0,True,8894.710874999999,2026-03-14T10:00:38.187972Z,False
268934,highest-temperature-in-dallas-on-march-18-2026,Highest temperature in Dallas on March 18?,dallas,2026-03-18,11,2.0,64.0,81.0,True,36643.886335,2026-03-14T10:00:34.20273Z,False
268916,highest-temperature-in-london-on-march-18-2026,Highest temperature in London on March 18?,london,2026-03-18,11,,,,True,0.0,2026-03-14T10:00:01.163429Z,False
268932,highest-temperature-in-seattle-on-march-18-2026,Highest temperature in Seattle on March 18?,seattle,2026-03-18,11,2.0,50.0,67.0,True,18772.427438999992,2026-03-14T10:00:26.230969Z,False
268930,highest-temperature-in-toronto-on-march-18-2026,Highest temperature in Toronto on March 18?,toronto,2026-03-18,11,,,,True,15380.900496999997,2026-03-14T10:00:22.293054Z,False
268933,highest-temperature-in-nyc-on-march-18-2026,Highest temperature in NYC on March 18?,new_york_city,2026-03-18,11,2.0,32.0,49.0,True,23431.122248,2026-03-14T10:00:30.223885Z,False
276885,highest-temperature-in-milan-on-march-18-2026,Highest temperature in Milan on March 18?,milan,2026-03-18,11,,,,True,7575.280000000002,2026-03-16T18:12:51.350229Z,False
276886,highest-temperature-in-madrid-on-march-18-2026,Highest temperature in Madrid on March 18?,madrid,2026-03-18,11,,,,True,0.0,2026-03-16T18:13:02.847796Z,False
276887,highest-temperature-in-warsaw-on-march-18-2026,Highest temperature in Warsaw on March 18?,warsaw,2026-03-18,11,,,,True,0.0,2026-03-16T18:13:12.960973Z,False
276888,highest-temperature-in-taipei-on-march-18-2026,Highest temperature in Taipei on March 18?,taipei,2026-03-18,11,,,,True,5570.412273,2026-03-16T18:13:22.988752Z,False
268922,highest-temperature-in-paris-on-march-18-2026,Highest temperature in Paris on March 18?,paris,2026-03-18,11,,,,True,13944.292667000003,2026-03-14T10:00:05.480316Z,False
276884,highest-temperature-in-hong-kong-on-march-18-2026,Highest temperature in Hong Kong on March 18?,hong_kong,2026-03-18,11,,,,True,16752.799690999997,2026-03-16T18:12:40.701432Z,False
268928,highest-temperature-in-seoul-on-march-18-2026,Highest temperature in Seoul on March 18?,seoul,2026-03-18,11,,,,True,0.0,2026-03-14T10:00:18.153617Z,False
268926,highest-temperature-in-buenos-aires-on-march-18-2026,Highest temperature in Buenos Aires on March 18?,buenos_aires,2026-03-18,11,,,,True,0.0,2026-03-14T10:00:13.926495Z,False
268924,highest-temperature-in-sao-paulo-on-march-18-2026,Highest temperature in Sao Paulo on March 18?,sao_paulo,2026-03-18,11,,,,True,23217.944934,2026-03-14T10:00:09.680573Z,False
272256,highest-temperature-in-munich-on-march-19-2026,Highest temperature in Munich on March 19?,munich,2026-03-19,11,,,,True,4375.788883999999,2026-03-15T10:01:02.640407Z,False
272255,highest-temperature-in-lucknow-on-march-19-2026,Highest temperature in Lucknow on March 19?,lucknow,2026-03-19,11,,,,True,6281.875194999999,2026-03-15T10:00:58.700557Z,False
272254,highest-temperature-in-wellington-on-march-19-2026,Highest temperature in Wellington on March 19?,wellington,2026-03-19,11,,,,True,2864.2751049999997,2026-03-15T10:00:54.673876Z,False
272253,highest-temperature-in-ankara-on-march-19-2026,Highest temperature in Ankara on March 19?,ankara,2026-03-19,11,,,,True,0.0,2026-03-15T10:00:50.725091Z,False
272247,highest-temperature-in-seattle-on-march-19-2026,Highest temperature in Seattle on March 19?,seattle,2026-03-19,11,2.0,44.0,61.0,True,2651.5072499999997,2026-03-15T10:00:26.275859Z,False
272248,highest-temperature-in-nyc-on-march-19-2026,Highest temperature in NYC on March 19?,new_york_city,2026-03-19,11,2.0,36.0,53.0,True,124464.9233139999,2026-03-15T10:00:30.300416Z,False
272249,highest-temperature-in-dallas-on-march-19-2026,Highest temperature in Dallas on March 19?,dallas,2026-03-19,11,2.0,74.0,91.0,True,100912.62488400005,2026-03-15T10:00:34.271324Z,False
272250,highest-temperature-in-atlanta-on-march-19-2026,Highest temperature in Atlanta on March 19?,atlanta,2026-03-19,11,2.0,60.0,77.0,True,0.0,2026-03-15T10:00:38.314814Z,False
272251,highest-temperature-in-miami-on-march-19-2026,Highest temperature in Miami on March 19?,miami,2026-03-19,11,2.0,66.0,83.0,True,0.0,2026-03-15T10:00:42.38033Z,False
272252,highest-temperature-in-chicago-on-march-19-2026,Highest temperature in Chicago on March 19?,chicago_midway,2026-03-19,11,2.0,38.0,55.0,True,19614.421232000004,2026-03-15T10:00:46.446048Z,False
272258,highest-temperature-in-tokyo-on-march-19-2026,Highest temperature in Tokyo on March 19?,tokyo,2026-03-19,11,,,,True,0.0,2026-03-15T10:01:10.765076Z,False
272257,highest-temperature-in-tel-aviv-on-march-19-2026,Highest temperature in Tel Aviv on March 19?,tel_aviv,2026-03-19,11,,,,True,29936.535309,2026-03-15T10:01:06.706053Z,False
272260,highest-temperature-in-singapore-on-march-19-2026,Highest temperature in Singapore on March 19?,singapore,2026-03-19,11,,,,True,15498.532519000008,2026-03-15T10:01:18.776991Z,False
272237,highest-temperature-in-buenos-aires-on-march-19-2026,Highest temperature in Buenos Aires on March 19?,buenos_aires,2026-03-19,11,,,,True,30374.244797999985,2026-03-15T10:00:13.997871Z,False
272233,highest-temperature-in-sao-paulo-on-march-19-2026,Highest temperature in Sao Paulo on March 19?,sao_paulo,2026-03-19,11,,,,True,14485.216953,2026-03-15T10:00:09.929227Z,False
272228,highest-temperature-in-paris-on-march-19-2026,Highest temperature in Paris on March 19?,paris,2026-03-19,11,,,,True,20789.187547000016,2026-03-15T10:00:05.758586Z,False
272220,highest-temperature-in-london-on-march-19-2026,Highest temperature in London on March 19?,london,2026-03-19,11,,,,True,0.0,2026-03-15T10:00:01.248076Z,False
272245,highest-temperature-in-toronto-on-march-19-2026,Highest temperature in Toronto on March 19?,toronto,2026-03-19,11,,,,True,6577.509718000004,2026-03-15T10:00:22.19704Z,False
276889,highest-temperature-in-hong-kong-on-march-19-2026,Highest temperature in Hong Kong on March 19?,hong_kong,2026-03-19,11,,,,True,0.0,2026-03-16T18:13:32.877097Z,False
276890,highest-temperature-in-milan-on-march-19-2026,Highest temperature in Milan on March 19?,milan,2026-03-19,11,,,,True,37796.807757999995,2026-03-16T18:13:43.058798Z,False
276891,highest-temperature-in-madrid-on-march-19-2026,Highest temperature in Madrid on March 19?,madrid,2026-03-19,11,,,,True,5669.951593999999,2026-03-16T18:13:53.068698Z,False
276892,highest-temperature-in-warsaw-on-march-19-2026,Highest temperature in Warsaw on March 19?,warsaw,2026-03-19,11,,,,True,10473.421968999997,2026-03-16T18:14:03.485774Z,False
276893,highest-temperature-in-taipei-on-march-19-2026,Highest temperature in Taipei on March 19?,taipei,2026-03-19,11,,,,True,3791.726847,2026-03-16T18:14:14.496372Z,False
272259,highest-temperature-in-shanghai-on-march-19-2026,Highest temperature in Shanghai on March 19?,shanghai,2026-03-19,11,,,,True,86820.721776,2026-03-15T10:01:14.812802Z,False
272241,highest-temperature-in-seoul-on-march-19-2026,Highest temperature in Seoul on March 19?,seoul,2026-03-19,11,,,,True,0.0,2026-03-15T10:00:18.237891Z,False
287676,highest-temperature-in-beijing-on-march-20-2026,Highest temperature in Beijing on March 20?,beijing,2026-03-20,11,,,,True,0.0,2026-03-19T22:50:00.412974Z,False
275640,highest-temperature-in-sao-paulo-on-march-20-2026,Highest temperature in Sao Paulo on March 20?,sao_paulo,2026-03-20,11,,,,True,11014.11716300001,2026-03-16T10:00:09.744183Z,False
